EC,EO
-9.859413707977161,9.523940832607298
-10.888823465137888,9.761874323013386
-11.757478599231817,9.898885016155617
-12.462942433675087,9.942579538172176
-13.00489952646647,9.903468571012837
-13.384805517979935,9.793790136279041
-13.605615740347426,9.626313603896735
-13.67160243237861,9.413259724143767
-13.588276110237917,9.16543873931786
-13.362425922207889,8.891665626536582
-13.002279162069389,8.59846793552764
-12.51775683227236,8.290062415246663
-11.920779266018089,7.9685477698700025
-11.225560081740172,7.634250566189416
-10.448821560136974,7.286170399309119
-9.609867705176365,6.922487200780577
-8.730456406423096,6.541102725009979
-7.83441781182009,6.140183177821332
-6.946980654773493,5.718656040498603
-6.093800957318498,5.276603894545666
-5.299734473921384,4.815502333426729
-4.58743837941585,4.338268944810338
-3.9759136405108735,3.8491167653993417
-3.4791060235421147,3.353228207171179
-3.1046798857113824,2.856282043258071
-2.8530725467894116,2.363881822744333
-2.7169291048713986,1.8809514012206456
-2.681003576667666,1.4111754954732258
-2.722586423127233,0.9565617597685797
-2.8124791362707375,0.5171854713255886
-2.9164884502514212,0.09115484909845768
-2.997363585854087,-0.3251907142177791
-3.017055449877764,-0.7368630006877926
-2.9391403885129948,-1.1496231612528247
-2.731226029123793,-1.5692455661956812
-2.3671460446328734,-2.000706951650614
-1.8287573302909164,-2.4473711554154707
-1.1071789749150542,-2.910251417778245
-0.2033563814628228,-3.3874376609356025
0.8721081315377741,-3.873767799483573
2.0998498473369653,-4.360799019002501
3.4532825431487857,-4.837101819399506
4.900642544001889,-5.288862244768941
6.407346248277044,-5.700741944008081
7.938452475163684,-6.056918539187493
9.461030094951592,-6.342215755772245
10.946259108689986,-6.543233619973165
12.371126202019326,-6.649398143976775
13.71960529785095,-6.653860843456731
14.98324120785018,-6.554187306320649
16.16108878392403,-6.352780661543959
17.259007374269693,-6.056993560534664
18.288366664205405,-5.678896436677147
19.264273182757115,-5.234693486504242
20.203467831443568,-4.743809102753966
21.12207164365838,-4.227701361441892
22.03336979804103,-3.708490628320745
22.945821997497717,-3.2075150703228013
23.861470605937082,-2.7439355032762696
24.7748878512806,-2.3335081922693828
25.672761881294832,-1.987629566686282
26.534171066392943,-1.7127351936193436
27.331540558745285,-1.510106707451943
28.03221788133805,-1.3761029509969915
28.60054654563185,-1.3027881837052626
29.000262352160558,-1.2788896150760694
29.196996446699764,-1.2909868172588952
29.160654545002483,-1.3248189375161838
28.867458844356996,-1.3665904059828873
28.301484970119827,-1.4041605803328105
27.455592851571048,-1.428017459190148
26.33172727495069,-1.4319604079980512
24.940636477301098,-1.4134499913505667
23.301109501459386,-1.3736198314980939
21.438857557499755,-1.3169796173385486
19.385167217721193,-1.250863423530449
17.175445725675303,-1.1846887880854005
14.847767365150638,-1.1290911119552158
12.441513072409627,-1.0949929704601082
9.996171252417897,-1.0926666735811228
7.550339468633137,-1.1308525808342882
5.140940110241341,-1.216002034414567
2.8026418304639145,-1.35171686498877
0.5674630194611913,-1.538450488171728
-1.5354777360793495,-1.7735140694631366
-3.480108223571675,-2.0513969447906417
-5.24349713604062,-2.3643702958544726
-6.805950937213989,-2.7033046679412034
